Adverse Event,Count
virologic failure,927
anxiety,772
pain,754
emotional distress,735
anhedonia,662
viral mutation identified,623
drug resistance,610
pathogen resistance,579
depression,510
chronic kidney disease,454
maternal exposure during pregnancy,447
osteoporosis,430
treatment failure,397
drug interaction,355
immune reconstitution inflammatory syndrome,348
renal failure,299
bone density decreased,293
renal impairment,286
acute kidney injury,277
foetal exposure during pregnancy,269
anaemia,263
osteopenia,258
death,255
economic problem,252
exposure during pregnancy,227
treatment noncompliance,215
loss of personal independence in daily activities,213
abortion spontaneous,196
drug ineffective,189
fatigue,187
blood creatinine increased,174
lipodystrophy acquired,171
neurotoxicity,171
pyrexia,166
hypertension,150
gait disturbance,150
diarrhoea,142
insomnia,138
end stage renal disease,136
asthenia,134
nausea,130
vomiting,127
rash,124
bone demineralisation,123
drug-induced liver injury,121
abortion induced,114
pregnancy,106
stillbirth,105
multiple fractures,102
nervous system disorder,101
diplopia,93
live birth,92
off label use,92
toxicity to various agents,92
eyelid ptosis,90
premature delivery,89
mitochondrial toxicity,89
condition aggravated,88
back pain,88
normal newborn,87
proteinuria,86
tooth loss,86
headache,85
osteonecrosis,84
suicidal ideation,82
alanine aminotransferase increased,81
weight decreased,81
arthralgia,81
bone loss,75
caesarean section,75
dizziness,73
blood hiv rna increased,72
progressive external ophthalmoplegia,72
diabetes mellitus,72
quality of life decreased,72
psychotic disorder,71
foot fracture,71
mobility decreased,71
nephropathy toxic,69
fanconi syndrome acquired,69
intentional product use issue,66
renal injury,66
dyspnoea,66
general physical health deterioration,65
kaposi's sarcoma,64
aspartate aminotransferase increased,64
decreased activity,64
nephrolithiasis,64
multiple-drug resistance,62
myalgia,62
dyslipidaemia,61
decreased appetite,60
pulmonary tuberculosis,59
dysstasia,58
hiv viraemia,58
neuropathy peripheral,58
psychiatric decompensation,55
immune reconstitution inflammatory syndrome associated tuberculosis,53
acute myocardial infarction,52
renal disorder,51
depression suicidal,51
tearfulness,50
viral load increased,50
paranoia,50
sepsis,50
rib fracture,48
pruritus,48
cough,47
pneumonia,46
hiv infection,46
abdominal pain,46
genotype drug resistance test positive,45
gastrointestinal disorder,45
hypophosphataemia,45
depressive symptom,45
nightmare,44
hypersensitivity,44
psychomotor skills impaired,44
tuberculosis,44
rash maculo-papular,43
lymphadenopathy,43
product use in unapproved indication,43
gynaecomastia,42
meningitis cryptococcal,42
pancytopenia,42
lactic acidosis,41
retinal toxicity,40
malaise,40
urinary tract infection,40
bone pain,39
ankle fracture,39
vitamin d deficiency,38
hepatotoxicity,37
sleep disorder,37
autoimmune hepatitis,37
weight increased,36
skeletal injury,36
pain in extremity,36
foetal growth restriction,36
dysphagia,36
nephropathy,35
pollakiuria,35
hip fracture,35
skin lesion,34
encephalopathy,34
product use issue,33
oral candidiasis,33
ophthalmoplegia,33
fall,33
wrist fracture,33
stevens-johnson syndrome,32
cd4 lymphocytes decreased,32
human immunodeficiency virus transmission,32
neutropenia,32
adverse event,32
jaundice,32
pneumocystis jirovecii pneumonia,32
osteoarthritis,32
hepatic cirrhosis,31
muscular weakness,31
somnolence,31
hepatic function abnormal,31
seizure,31
myocardial infarction,30
femur fracture,30
prescribed overdose,30
malnutrition,29
foetal death,29
fracture,29
abnormal dreams,29
hepatomegaly,29
disease recurrence,28
hepatitis c,28
haemoglobin decreased,28
glomerular filtration rate decreased,28
chest pain,28
hyperlipidaemia,28
hand fracture,27
respiratory failure,27
hiv-associated neurocognitive disorder,27
fanconi syndrome,27
