Cluster,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Infections and infestations,10.21,18.18,8.93,13.43,13.7,8.4,16.2,11.27,6.87,8.18,6.81,6.4
General disorders and administration site conditions,12.02,11.62,11.37,17.13,24.56,15.37,15.94,13.27,14.2,14.5,15.84,13.99
Investigations,8.27,5.05,4.31,6.2,8.77,6.36,9.69,9.7,7.2,6.71,7.95,7.02
"Injury, poisoning and procedural complications",4.13,3.94,11.62,6.32,8.36,15.43,9.76,6.54,6.81,7.19,7.15,6.23
Surgical and medical procedures,1.55,0.61,4.82,1.94,0.46,0.78,0.98,0.63,0.2,0.54,0.46,0.63
Vascular disorders,0.78,0.3,0.3,1.52,1.39,0.72,1.04,0.71,1.56,0.77,0.87,1.31
Cardiac disorders,2.2,1.41,0.76,2.0,0.99,0.78,1.37,1.02,0.55,1.37,0.31,1.2
"Respiratory, thoracic and mediastinal disorders",2.84,2.22,1.78,2.13,0.93,2.4,1.56,1.21,0.46,0.54,0.32,0.57
Hepatobiliary disorders,4.01,2.42,2.64,3.71,6.16,3.84,2.99,1.73,1.66,1.69,0.73,1.37
Nervous system disorders,8.4,7.47,4.92,5.53,3.95,6.18,4.16,5.96,2.77,4.38,2.5,4.34
"Congenital, familial and genetic disorders",2.07,1.92,1.32,0.24,1.51,3.72,3.38,1.59,0.65,1.57,0.37,0.97
Renal and urinary disorders,2.84,3.13,3.96,4.25,2.5,5.34,3.32,7.45,13.19,9.27,11.79,9.77
Skin and subcutaneous tissue disorders,6.33,4.44,3.96,3.83,6.1,2.7,4.1,2.69,1.92,3.19,0.88,2.68
Musculoskeletal and connective tissue disorders,2.2,3.03,1.93,1.64,1.45,4.26,2.73,5.3,7.65,7.38,10.77,7.77
Gastrointestinal disorders,6.2,6.26,4.47,3.52,3.6,1.92,2.86,3.22,3.26,5.02,1.78,3.08
Immune system disorders,4.78,4.14,2.13,4.07,1.51,2.76,1.3,1.81,0.65,1.5,0.54,1.03
Product issues,0.13,0.0,0.0,0.06,0.17,0.48,0.07,0.0,0.0,0.0,0.0,0.0
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",0.65,1.41,0.51,2.31,0.12,0.0,0.72,0.33,0.62,0.86,0.2,0.29
Social circumstances,0.13,0.1,0.15,0.0,0.06,0.0,0.33,3.16,3.78,1.6,2.51,2.97
Psychiatric disorders,5.68,2.83,3.81,5.04,3.43,3.54,5.6,12.15,19.45,14.86,23.99,21.3
Metabolism and nutrition disorders,6.59,4.95,3.25,4.25,2.32,2.94,2.99,2.39,2.54,3.13,1.55,2.28
Blood and lymphatic system disorders,3.62,6.36,3.3,3.95,2.26,0.9,2.02,1.43,1.04,1.41,1.51,1.94
Eye disorders,0.9,3.03,0.56,0.55,1.05,0.54,2.08,3.13,2.05,2.62,0.14,1.71
Endocrine disorders,0.9,1.01,0.25,0.0,0.0,0.36,0.2,0.22,0.2,0.45,0.34,0.23
Reproductive system and breast disorders,0.26,0.71,0.15,0.0,0.46,0.66,0.65,0.85,0.2,0.06,0.14,0.11
Ear and labyrinth disorders,0.0,0.0,0.15,0.0,0.0,0.06,0.46,0.22,0.07,0.16,0.05,0.11
"Pregnancy, puerperium and perinatal conditions",2.33,3.43,18.63,6.38,4.18,9.54,3.51,2.01,0.46,1.05,0.48,0.69
