Cluster,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Blood and lymphatic system disorders,16,31,18,15,14,0,9,9,7,8,22,8
Cardiac disorders,7,3,3,3,3,1,2,1,0,7,2,3
"Congenital, familial and genetic disorders",4,1,1,1,16,12,12,14,2,14,4,4
Ear and labyrinth disorders,0,0,2,0,0,1,4,4,0,4,0,0
Endocrine disorders,4,3,1,0,0,0,1,5,1,3,5,1
Eye disorders,1,3,2,0,6,2,0,13,4,1,0,0
Gastrointestinal disorders,12,31,20,15,27,6,11,30,31,22,19,1
General disorders and administration site conditions,41,36,62,44,50,60,67,113,76,71,224,53
Hepatobiliary disorders,9,11,26,17,14,34,16,22,21,11,14,1
Immune system disorders,14,18,11,4,12,10,2,10,5,1,14,1
Infections and infestations,30,71,60,26,36,32,42,40,85,15,17,19
"Injury, poisoning and procedural complications",9,12,202,79,77,130,68,153,56,82,127,19
Investigations,21,15,37,22,35,35,47,79,64,38,96,36
Metabolism and nutrition disorders,16,21,19,18,10,6,9,10,14,9,24,7
Musculoskeletal and connective tissue disorders,6,1,11,6,9,2,7,41,44,82,219,26
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",2,1,1,3,0,0,2,6,1,15,4,0
Nervous system disorders,28,26,19,6,17,41,14,22,31,25,31,31
"Pregnancy, puerperium and perinatal conditions",13,29,363,101,47,99,44,60,13,21,15,5
Product issues,1,0,0,0,0,8,1,0,0,0,0,0
Psychiatric disorders,18,9,10,21,15,10,9,114,86,87,345,51
Renal and urinary disorders,13,13,14,14,19,17,14,56,81,69,180,36
Reproductive system and breast disorders,1,1,0,0,0,0,0,18,2,0,0,0
"Respiratory, thoracic and mediastinal disorders",3,8,4,3,5,5,4,5,5,0,6,0
Skin and subcutaneous tissue disorders,26,11,29,27,43,9,20,19,11,2,20,3
Social circumstances,0,0,0,0,0,0,0,32,11,9,46,10
Surgical and medical procedures,9,2,93,31,8,12,14,15,0,7,9,1
Vascular disorders,4,0,4,10,14,3,3,9,4,0,11,9
