Cluster,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Blood and lymphatic system disorders,12,29,39,15,20,10,15,22,23,6,50,12
Cardiac disorders,10,8,7,7,12,11,18,29,8,12,12,11
"Congenital, familial and genetic disorders",9,12,13,1,9,39,16,32,15,18,15,10
Ear and labyrinth disorders,0,0,1,0,0,0,3,4,2,0,3,2
Endocrine disorders,3,7,2,0,0,3,2,3,5,6,12,2
Eye disorders,6,27,9,8,12,6,32,98,53,41,5,22
Gastrointestinal disorders,32,26,64,17,23,15,27,64,64,57,58,27
General disorders and administration site conditions,52,75,82,76,48,97,87,297,331,256,524,127
Hepatobiliary disorders,17,13,19,20,25,26,21,33,20,8,13,6
Immune system disorders,23,21,26,17,12,29,11,26,14,24,7,6
Infections and infestations,45,86,59,38,36,49,56,249,93,108,42,25
"Injury, poisoning and procedural complications",15,24,18,5,25,25,26,57,143,102,235,62
Investigations,37,23,29,38,33,22,47,212,139,110,213,60
Metabolism and nutrition disorders,34,25,21,11,24,15,33,61,62,50,51,19
Musculoskeletal and connective tissue disorders,11,26,25,10,12,6,22,141,190,118,408,92
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",3,5,5,4,2,0,8,6,18,1,5,4
Nervous system disorders,37,46,64,20,23,29,23,69,50,56,80,30
"Pregnancy, puerperium and perinatal conditions",1,3,2,0,3,14,3,0,0,4,10,0
Product issues,0,0,0,1,3,0,0,0,0,0,0,0
Psychiatric disorders,25,17,52,26,24,28,60,327,508,320,1022,308
Renal and urinary disorders,8,17,45,31,17,30,25,169,310,150,479,118
Reproductive system and breast disorders,1,6,3,0,4,6,10,13,4,0,8,2
"Respiratory, thoracic and mediastinal disorders",18,14,28,23,9,29,16,24,6,4,6,4
Skin and subcutaneous tissue disorders,23,29,42,19,33,21,35,50,42,35,14,12
Social circumstances,1,1,3,0,0,0,4,83,105,38,97,40
Surgical and medical procedures,0,4,2,1,0,0,1,6,6,5,14,5
Vascular disorders,2,3,2,3,7,6,12,12,23,13,28,4
