Cluster,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Blood and lymphatic system disorders,57.1,51.7,31.6,50.0,41.2,0.0,37.5,29.0,23.3,57.1,30.6,40.0
Cardiac disorders,41.2,27.3,30.0,30.0,20.0,8.3,10.0,3.3,0.0,36.8,14.3,21.4
"Congenital, familial and genetic disorders",30.8,7.7,7.1,50.0,64.0,23.5,42.9,30.4,11.8,43.8,21.1,28.6
Ear and labyrinth disorders,,,66.7,,,100.0,57.1,50.0,0.0,100.0,0.0,0.0
Endocrine disorders,57.1,30.0,33.3,,,0.0,33.3,62.5,16.7,33.3,29.4,33.3
Eye disorders,14.3,10.0,18.2,0.0,33.3,25.0,0.0,11.7,7.0,2.4,0.0,0.0
Gastrointestinal disorders,27.3,54.4,23.8,46.9,54.0,28.6,28.9,31.9,32.6,27.8,24.7,3.6
General disorders and administration site conditions,44.1,32.4,43.1,36.7,51.0,38.2,43.5,27.6,18.7,21.7,29.9,29.4
Hepatobiliary disorders,34.6,45.8,57.8,45.9,35.9,56.7,43.2,40.0,51.2,57.9,51.9,14.3
Immune system disorders,37.8,46.2,29.7,19.0,50.0,25.6,15.4,27.8,26.3,4.0,66.7,14.3
Infections and infestations,40.0,45.2,50.4,40.6,50.0,39.5,42.9,13.8,47.8,12.2,28.8,43.2
"Injury, poisoning and procedural complications",37.5,33.3,91.8,94.0,75.5,83.9,72.3,72.9,28.1,44.6,35.1,23.5
Investigations,36.2,39.5,56.1,36.7,51.5,61.4,50.0,27.1,31.5,25.7,31.1,37.5
Metabolism and nutrition disorders,32.0,45.7,47.5,62.1,29.4,28.6,21.4,14.1,18.4,15.3,32.0,26.9
Musculoskeletal and connective tissue disorders,35.3,3.7,30.6,37.5,42.9,25.0,24.1,22.5,18.8,41.0,34.9,22.0
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",40.0,16.7,16.7,42.9,0.0,,20.0,50.0,5.3,93.8,44.4,0.0
Nervous system disorders,43.1,36.1,22.9,23.1,42.5,58.6,37.8,24.2,38.3,30.9,27.9,50.8
"Pregnancy, puerperium and perinatal conditions",92.9,90.6,99.5,100.0,94.0,87.6,93.6,100.0,100.0,84.0,60.0,100.0
Product issues,100.0,,,0.0,0.0,100.0,100.0,,,,,
Psychiatric disorders,41.9,34.6,16.1,44.7,38.5,26.3,13.0,25.9,14.5,21.4,25.2,14.2
Renal and urinary disorders,61.9,43.3,23.7,31.1,52.8,36.2,35.9,24.9,20.7,31.5,27.3,23.4
Reproductive system and breast disorders,50.0,14.3,0.0,,0.0,0.0,0.0,58.1,33.3,,0.0,0.0
"Respiratory, thoracic and mediastinal disorders",14.3,36.4,12.5,11.5,35.7,14.7,20.0,17.2,45.5,0.0,50.0,0.0
Skin and subcutaneous tissue disorders,53.1,27.5,40.8,58.7,56.6,30.0,36.4,27.5,20.8,5.4,58.8,20.0
Social circumstances,0.0,0.0,0.0,,,,0.0,27.8,9.5,19.1,32.2,20.0
Surgical and medical procedures,100.0,33.3,97.9,96.9,100.0,100.0,93.3,71.4,0.0,58.3,39.1,16.7
Vascular disorders,66.7,0.0,66.7,76.9,66.7,33.3,20.0,42.9,14.8,0.0,28.2,69.2
