Cluster,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Blood and lymphatic system disorders,42.9,48.3,68.4,50.0,58.8,100.0,62.5,71.0,76.7,42.9,69.4,60.0
Cardiac disorders,58.8,72.7,70.0,70.0,80.0,91.7,90.0,96.7,100.0,63.2,85.7,78.6
"Congenital, familial and genetic disorders",69.2,92.3,92.9,50.0,36.0,76.5,57.1,69.6,88.2,56.2,78.9,71.4
Ear and labyrinth disorders,,,33.3,,,0.0,42.9,50.0,100.0,0.0,100.0,100.0
Endocrine disorders,42.9,70.0,66.7,,,100.0,66.7,37.5,83.3,66.7,70.6,66.7
Eye disorders,85.7,90.0,81.8,100.0,66.7,75.0,100.0,88.3,93.0,97.6,100.0,100.0
Gastrointestinal disorders,72.7,45.6,76.2,53.1,46.0,71.4,71.1,68.1,67.4,72.2,75.3,96.4
General disorders and administration site conditions,55.9,67.6,56.9,63.3,49.0,61.8,56.5,72.4,81.3,78.3,70.1,70.6
Hepatobiliary disorders,65.4,54.2,42.2,54.1,64.1,43.3,56.8,60.0,48.8,42.1,48.1,85.7
Immune system disorders,62.2,53.8,70.3,81.0,50.0,74.4,84.6,72.2,73.7,96.0,33.3,85.7
Infections and infestations,60.0,54.8,49.6,59.4,50.0,60.5,57.1,86.2,52.2,87.8,71.2,56.8
"Injury, poisoning and procedural complications",62.5,66.7,8.2,6.0,24.5,16.1,27.7,27.1,71.9,55.4,64.9,76.5
Investigations,63.8,60.5,43.9,63.3,48.5,38.6,50.0,72.9,68.5,74.3,68.9,62.5
Metabolism and nutrition disorders,68.0,54.3,52.5,37.9,70.6,71.4,78.6,85.9,81.6,84.7,68.0,73.1
Musculoskeletal and connective tissue disorders,64.7,96.3,69.4,62.5,57.1,75.0,75.9,77.5,81.2,59.0,65.1,78.0
"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",60.0,83.3,83.3,57.1,100.0,,80.0,50.0,94.7,6.2,55.6,100.0
Nervous system disorders,56.9,63.9,77.1,76.9,57.5,41.4,62.2,75.8,61.7,69.1,72.1,49.2
"Pregnancy, puerperium and perinatal conditions",7.1,9.4,0.5,0.0,6.0,12.4,6.4,0.0,0.0,16.0,40.0,0.0
Product issues,0.0,,,100.0,100.0,0.0,0.0,,,,,
Psychiatric disorders,58.1,65.4,83.9,55.3,61.5,73.7,87.0,74.1,85.5,78.6,74.8,85.8
Renal and urinary disorders,38.1,56.7,76.3,68.9,47.2,63.8,64.1,75.1,79.3,68.5,72.7,76.6
Reproductive system and breast disorders,50.0,85.7,100.0,,100.0,100.0,100.0,41.9,66.7,,100.0,100.0
"Respiratory, thoracic and mediastinal disorders",85.7,63.6,87.5,88.5,64.3,85.3,80.0,82.8,54.5,100.0,50.0,100.0
Skin and subcutaneous tissue disorders,46.9,72.5,59.2,41.3,43.4,70.0,63.6,72.5,79.2,94.6,41.2,80.0
Social circumstances,100.0,100.0,100.0,,,,100.0,72.2,90.5,80.9,67.8,80.0
Surgical and medical procedures,0.0,66.7,2.1,3.1,0.0,0.0,6.7,28.6,100.0,41.7,60.9,83.3
Vascular disorders,33.3,100.0,33.3,23.1,33.3,66.7,80.0,57.1,85.2,100.0,71.8,30.8
