Cluster,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Antiviral Treatment Challenges,7.62,9.84,8.14,15.11,22.91,14.87,19.87,12.48,9.15,10.56,12.64,9.61
Cardiovascular and Circulatory Disorders,4.59,2.66,1.85,4.23,2.17,2.93,3.08,1.69,1.97,2.2,1.23,2.73
Congenital and Developmental Disorders,0.88,2.18,1.16,0.27,1.89,7.17,8.0,2.63,0.79,1.67,1.01,0.93
Death,0.88,2.42,1.56,1.6,3.95,1.31,0.51,0.07,0.15,0.25,0.11,0.29
Dermatological and Hypersensitivity Reactions,6.93,4.03,3.56,2.58,3.45,1.58,1.3,1.07,1.01,1.45,0.71,2.39
Diagnostic and Therapeutic Procedures,0.88,0.56,0.87,1.02,1.57,3.23,1.4,0.6,0.77,1.94,1.61,2.24
Gastrointestinal and Hepatic Disorders,13.57,9.03,7.85,8.65,7.79,5.07,6.22,3.72,3.18,5.39,3.58,5.56
General Symptoms and Fatigue,7.71,6.05,5.3,5.4,2.95,3.45,4.25,11.62,13.04,10.21,11.27,10.93
Hematological and Lymphatic Disorders,3.52,6.21,3.38,4.62,2.95,1.2,1.43,0.9,1.23,1.55,1.49,1.07
Immune and Autoimmune Disorders,5.96,5.89,2.91,4.77,1.92,3.68,3.05,1.75,1.14,2.34,1.13,3.66
Injury and Procedural Complications,0.49,1.05,0.87,1.14,0.85,0.41,0.86,3.55,5.91,3.53,4.44,2.93
Metabolic and Endocrine Disorders,8.79,7.66,4.21,8.1,3.7,7.62,6.82,10.29,11.22,10.63,10.46,8.88
Neuromuscular and Sensory Disorders,6.84,8.63,5.48,4.54,4.41,3.79,8.89,7.52,6.83,8.94,5.77,6.88
Neuropsychiatric Disorders,8.2,7.5,5.81,7.63,5.19,6.87,8.98,20.21,22.31,21.1,26.54,24.93
Opportunistic Infections,7.52,11.05,5.09,7.08,2.13,3.64,2.57,1.34,2.05,1.92,0.99,2.24
Others,0.98,0.81,1.05,1.76,1.1,1.46,0.76,3.63,2.61,1.57,2.19,2.73
Pregnancy and Birth Complications,6.05,6.37,33.38,12.84,27.71,24.93,16.69,5.28,1.21,3.53,1.66,1.56
Renal and Electrolyte Disorders,5.18,3.79,4.61,5.71,2.24,3.72,3.21,10.17,14.64,10.31,12.46,9.37
Reproductive and Urogenital Disorders,0.59,0.16,0.36,0.31,0.14,0.56,0.63,0.66,0.22,0.39,0.25,0.2
Respiratory Disorders,2.83,4.11,2.54,2.62,0.96,2.48,1.49,0.82,0.57,0.53,0.43,0.88
