cluster,Adverse Events
Antiviral Treatment Challenges,virologic failure;drug resistance;viral mutation identified;pathogen resistance;treatment failure;drug ineffective;treatment noncompliance;blood hiv rna increased;viral load increased;genotype drug resistance test positive;hiv viraemia;drug intolerance;viraemia;disease progression;drug level above therapeutic;therapy non-responder;rebound effect;therapeutic response decreased;drug dose omission;therapy change;therapeutic product effect incomplete;retroviral rebound syndrome;drug level decreased;prescribed underdose;therapy cessation;drug level below therapeutic;blood hiv rna;viral load abnormal;no therapeutic response;drug resistance mutation;antiviral drug level below therapeutic;antiviral drug level above therapeutic;drug effect increased;therapy interrupted;drug interaction;toxicity to various agents;paradoxical drug reaction;overdose;multiple-drug resistance
Cardiovascular and Circulatory Disorders,hypertension;acute myocardial infarction;myocardial infarction;chest pain;pulmonary embolism;thrombosis;hypotension;palpitations;cardiac disorder;coronary artery disease;deep vein thrombosis;portal hypertension;acute coronary syndrome;syncope;cardiac failure congestive;cardiac failure;tachycardia;cerebral ischaemia;pericardial effusion;angina pectoris;congestive cardiomyopathy;vascular stent thrombosis;cardiovascular disorder;cardiac failure acute;pulmonary hypertension;cardiac arrest;left ventricular dysfunction;bradycardia;blood pressure increased;myocarditis;atrial fibrillation;cerebral infarction;arteriosclerosis;myocardial ischaemia;transient ischaemic attack;intestinal ischaemia;ischaemic stroke;ventricular extrasystoles;arrhythmia;hypertensive crisis;stenosis;aortic stenosis;bundle branch block left;cerebral haemorrhage;chest discomfort;portal vein thrombosis;hypertrophic cardiomyopathy;cardiac murmur;cardiotoxicity;carotid arteriosclerosis;left ventricular failure;atrial septal defect
Congenital and Developmental Disorders,fanconi syndrome acquired;fanconi syndrome;stevens-johnson syndrome;osteomalacia;microcephaly;trisomy 18;meningomyelocele;spina bifida;hydrocele;anencephaly;hydranencephaly;congenital anomaly;skull malformation;arnold-chiari malformation;diastasis recti abdominis;scoliosis;epidermodysplasia verruciformis;hereditary optic atrophy;congenital acrochordon;plagiocephaly;genitalia external ambiguous;strabismus congenital;facet joint syndrome;congenital skin dimples;developmental hip dysplasia;cervical dysplasia;hypospadias;ankyloglossia congenital;congenital cytomegalovirus infection;heart disease congenital;birth mark;body height decreased;brachydactyly;cleft lip and palate;cleft palate;congenital hydrocephalus;congenital umbilical hernia;dysmorphism;encephalocele;foetal malformation;foot deformity;gene mutation;hydrocephalus;limb deformity;meconium ileus;micrognathia;musculoskeletal deformity;neck deformity;neural tube defect;pachygyria;polydactyly;spinal deformity;syndactyly;talipes;umbilical hernia;ventricular septal defect
Death,death;death neonatal
Dermatological and Hypersensitivity Reactions,rash;rash pruritic;urticaria;pruritus;skin exfoliation;erythema;dermatitis allergic;drug eruption;skin disorder;skin hyperpigmentation;rash maculo-papular;rash erythematous;photosensitivity reaction;pemphigoid;eczema;psoriasis;angioedema;skin necrosis;skin plaque;skin ulcer;toxic epidermal necrolysis;skin lesion;pruritus generalised;alopecia;skin discolouration;skin toxicity;onychomycosis;pigmentation disorder;papule;acute generalised exanthematous pustulosis;drug hypersensitivity;drug reaction with eosinophilia and systemic symptoms;erythema annulare;eyelid oedema;face oedema;flushing;hypersensitivity;lip swelling;lipoatrophy;local swelling;rash macular;sjs-ten overlap;skin mass
Diagnostic and Therapeutic Procedures,transfusion;gastrostomy;vitiligo;adverse drug reaction;drug level increased;gene mutation identification test positive;hospitalisation;inappropriate schedule of product administration;incorrect route of product administration;intentional product use issue;knee operation;labelled drug-drug interaction issue;laboratory test abnormal;medical diet;medication error;prescribed overdose;product administration error;product substitution issue;product use issue;renal transplant;ultrasound antenatal screen;ultrasound antenatal screen abnormal;uterine dilation and curettage
Gastrointestinal and Hepatic Disorders,nausea;vomiting;diarrhoea;abdominal pain;dyspepsia;gastritis;flatulence;dysphagia;constipation;gastroenteritis;abdominal distension;oral discomfort;gingival bleeding;mouth ulceration;dry mouth;abdominal discomfort;ascites;cholestasis;anal cancer;appendicitis;tongue coated;intestinal obstruction;hepatic cirrhosis;hepatomegaly;jaundice;hepatitis;pancreatitis;haematemesis;oesophageal varices haemorrhage;abdominal pain lower;abdominal pain upper;abdominal tenderness;acute hepatic failure;alanine aminotransferase increased;amylase increased;aspartate aminotransferase increased;blood alkaline phosphatase increased;blood bilirubin increased;cholecystitis acute;cholelithiasis;cholestatic liver injury;chronic gastritis;chronic hepatitis;colitis microscopic;drug-induced liver injury;faeces discoloured;gamma-glutamyltransferase increased;gastric disorder;gastrointestinal disorder;gastrointestinal haemorrhage;gastrooesophageal reflux disease;haematochezia;hepatic cytolysis;hepatic encephalopathy;hepatic enzyme abnormal;hepatic enzyme increased;hepatic failure;hepatic fibrosis;hepatic function abnormal;hepatic necrosis;hepatic steatosis;hepatitis acute;hepatitis cholestatic;hepatitis fulminant;hepatitis toxic;hepatocellular carcinoma;hepatocellular injury;hepatotoxicity;hyperbilirubinaemia;intestinal perforation;lipase increased;liver disorder;liver function test abnormal;liver function test increased;liver injury;mixed liver injury;non-cirrhotic portal hypertension;nonalcoholic fatty liver disease;oral disorder;pancreatitis acute;peptic ulcer;portal hypertensive gastropathy;tooth disorder;transaminases increased;ulcer;varices oesophageal
General Symptoms and Fatigue,fatigue;pain;discomfort;malaise;general physical health deterioration;asthenia;loss of personal independence in daily activities;feeling abnormal;hyperhidrosis;feeling hot;poor quality sleep;night sweats;pallor;lethargy;dizziness;weight fluctuation;abnormal dreams;pyrexia;chills;quality of life decreased;fear of falling;bedridden;c-reactive protein;cachexia;condition aggravated;decreased activity;decreased appetite;disease recurrence;exercise tolerance decreased;fibrosis;illness;impaired work ability;inflammation;multi-organ failure;multiple organ dysfunction syndrome;necrosis;nodule;oedema;oedema peripheral;oropharyngeal pain;osteonecrosis;peripheral swelling;physical disability;poisoning;swelling face;tooth loss;wheelchair user
Hematological and Lymphatic Disorders,anaemia;thrombocytopenia;pancytopenia;neutropenia;leukocytosis;bone marrow oedema;splenomegaly;haemorrhage;acute myeloid leukaemia;anaemia macrocytic;anaemia of chronic disease;blood lactate dehydrogenase increased;bone marrow failure;diffuse large b-cell lymphoma;epistaxis;eye haemorrhage;febrile neutropenia;fibrous histiocytoma;full blood count decreased;haemoglobin decreased;haemolytic anaemia;hepatosplenomegaly;international normalised ratio fluctuation;international normalised ratio increased;leukopenia;lymph node pain;lymphadenopathy mediastinal;lymphoedema;metastases to lymph nodes;monoclonal gammopathy;myelosuppression;neutrophil count decreased;non-hodgkin's lymphoma;platelet count decreased;red blood cell abnormality;white blood cell count decreased
Immune and Autoimmune Disorders,lymphadenopathy;aplasia pure red cell;disseminated tuberculosis;lymphopenia;neurosyphilis;basedow's disease;unmasking of previously unidentified disease;rash papular;haemophagocytic lymphohistiocytosis;cd4 lymphocytes abnormal;toxic skin eruption;lichenoid keratosis;lymphoma;tuberculoma of central nervous system;secondary syphilis;oesophageal ulcer;syphilis;histoplasmosis disseminated;papilloedema;lymphadenitis;autoimmune hepatitis;generalised oedema;systemic lupus erythematosus;dermatitis exfoliative;purpura;scleroderma;systemic scleroderma;mycosis fungoides;white blood cell disorder;abdominal lymphadenopathy;acquired immunodeficiency syndrome;castleman's disease;cd4 lymphocytes decreased;cd4 lymphocytes increased;central nervous system immune reconstitution inflammatory response;csf hiv escape syndrome;dactylitis;graves' disease;immune reconstitution inflammatory syndrome;immune reconstitution inflammatory syndrome associated kaposi's sarcoma;immune reconstitution inflammatory syndrome associated tuberculosis;immune system disorder;immunodeficiency;immunosuppression;myasthenia gravis;psoriatic arthropathy;rheumatic disorder;transplant rejection;type 1 lepra reaction
